word,candidate_edges
extra,95
silence,95
opportunity,95
shout,94
may,94
choose,94
wonderful,94
bookstore,94
climbing,94
adventure,93
belly,93
pretty,93
bloom,93
noisy,93
torch,93
wonder,93
mug,93
around,92
grandfather,92
blank,92
i,92
senior,92
injure,92
week,92
comfortable,92
progressive,92
replace,92
glove,92
reader,92
argue,91
cd,91
above,91
expect,91
decide,91
reply,91
web page,91
ankle,91
scissors,90
us,90
frank,90
bandage,90
comic,90
survive,90
clown,90
want,89
subway,89
pour,89
scarf,89
late,89
exciting,89
breakfast,89
busy,89
globe,89
elderly,88
polite,88
bring,88
excuse,88
usually,88
golf,88
peter,88
inner,88
swan,88
towel,88
weigh,88
many,88
wish,88
committee,88
wake,87
pirate,87
some,87
fare,87
crisp,87
guess,86
hockey,86
anniversary,86
creative,86
please,86
cheer,86
shy,86
chat,86
unfair,86
below,86
with,85
instant,85
and,85
exit,85
store,85
pyramid,84
waterfall,84
prediction,84
junk,84
brave,84
seafood,84
cartoon,84
arrive,84
maker,84
department store,83
through,83
sore,83
pear,83
lily,83
pronunciation,83
yes,83
shopping,83
tram,83
famous,83
batch,83
champagne,83
twelve,83
robert,83
mum,83
talent,83
menu,82
necklace,82
playful,82
smile,82
rob,82
regret,82
impossible,82
everything,82
appointment,82
for,82
luck,81
exhibition,81
imagination,81
thousand,81
cute,81
knock,81
pronounce,81
notebook,81
soda,81
likely,81
advise,81
rap,80
punctuation,80
tired,80
anxious,80
concentrate,80
pleasing,80
frighten,80
skate,80
pollution,80
lifestyle,80
grandmother,80
million,79
camel,79
mystery,79
most,79
lunch,79
living room,79
quit,79
receipt,79
chapter,79
under,79
waiter,79
solve,79
fifth,79
cent,79
pity,78
fantastic,78
david,78
golden,78
mention,78
acceptable,78
leisure,78
swimsuit,78
tour,78
yoghurt,78
armed,78
hurry,78
of,78
rainbow,77
dishonest,77
suggestion,77
composer,77
far,77
surfing,77
tortoise,76
budget,76
hamburger,76
fisherman,76
it,76
uncle,76
hop,76
intelligent,76
ski,75
napkin,75
without,75
mary,75
enjoy,75
nine,75
reporter,75
borrow,74
bride,74
invent,74
sweetheart,74
satisfy,74
robbery,74
but,74
cab,74
headache,74
astronaut,73
fry,73
awake,73
suggest,73
glasses,73
what,73
peaceful,73
spill,73
taxi,73
explore,72
café,72
donkey,72
across,72
another,72
steak,72
ending,71
refer,71
fried,71
daily,71
welcome,71
fighter,70
whistle,70
tennis,70
disadvantage,70
bargain,70
unimportant,70
shampoo,70
as,70
creativity,69
imagine,69
friendship,69
disappear,69
dear,69
terrible,69
pursue,69
killer,69
favourite,69
girlfriend,69
must,69
interview,69
compare,69
lesson,69
vocabulary,69
retire,69
apart,69
pineapple,69
smith,69
several,69
bin,68
additional,68
kangaroo,68
goodbye,68
suddenly,68
include,68
winner,68
that,68
bother,68
at,67
visitor,67
earn,67
pop music,67
belong,67
greedy,67
paul,67
disco,67
rugby,67
only,66
lyric,66
tractor,66
physically,66
childhood,66
scream,65
aisle,65
further,65
sweater,65
racket,65
apron,65
often,65
forget,65
id,65
furry,65
let,65
really,64
always,64
amusement,64
jeans,64
mechanic,64
due,64
palace,64
alone,64
melon,64
episode,64
soft drink,64
treasure,64
sandy,63
singular,63
fully,63
overweight,63
coke,63
clap,63
much,63
hug,63
easily,63
pray,63
orphan,62
medal,62
asleep,62
delicious,62
cop,62
unhappy,62
recent,62
sunday,62
forever,62
so,62
appreciate,62
puppy,61
kit,61
graduate,61
used,61
everyone,61
daylight,61
noon,61
ok,61
august,61
surf,61
someone,61
olive oil,61
foreigner,61
prefer,61
merry,61
bus stop,61
fourth,61
princess,60
interesting,60
consist,60
breeze,60
slim,60
junior,60
both,60
clone,60
jungle,60
frightening,60
forbid,60
sunshine,60
moustache,60
panic,60
editor,60
handbag,60
tenth,60
sleepy,59
everyday,59
confident,59
lost,59
afraid,59
comparative,59
slowly,59
essay,59
burger,59
high school,59
usual,58
dad,58
convenience,58
pardon,58
eleven,58
this,58
less,58
roundabout,58
carrot,58
dining room,58
teenager,58
crocodile,58
fast food,58
balcony,58
awful,58
anything,58
whisper,57
hungry,57
mysterious,57
lend,57
huge,57
once,57
shorts,57
unhealthy,57
scenery,57
unfriendly,56
rather,56
take off,56
he,56
thunderstorm,56
the,56
cousin,56
petrol,56
plural,56
super,56
certainly,56
clue,56
relaxed,56
strawberry,56
cloudy,55
handsome,55
where,55
beg,55
armchair,55
while,55
following,55
recycle,55
psychologist,55
email,55
put on,55
envy,54
invention,54
folder,54
chirp,53
milkshake,53
greet,53
weep,53
because,53
